insee_code;nb_households;nb_inhabitants;consumption_units;median_income;taxable_households_rate;solo_median_income;family_median_income
01001;346.0;895.0;590.8;25820.0;;;
01002;115.0;266.0;181.0;24480.0;;;
01004;6855.0;15092.0;10398.2;21660.0;-14.8;21550.0;26590.0
01005;800.0;2028.0;1329.7;24610.0;-16.3;;29230.0
01006;51.0;107.0;76.6;24210.0;;;
01007;1184.0;2874.0;1915.7;24860.0;-14.8;;26750.0
01008;326.0;753.0;516.3;26300.0;;;
01009;157.0;380.0;256.8;24810.0;;;
01010;481.0;1122.0;760.1;24700.0;;;
01011;161.0;405.0;265.9;24530.0;;;
01012;144.0;324.0;223.1;24270.0;;;
01013;67.0;127.0;94.2;22180.0;;;
01014;1361.0;3438.0;2290.1;22410.0;-15.1;;24660.0
01015;313.0;734.0;498.7;23800.0;;;
01016;187.0;473.0;312.0;23080.0;;;
01017;194.0;419.0;293.5;20790.0;;;
01019;;;;;;;
01021;565.0;1423.0;941.2;26430.0;;;
01022;574.0;1158.0;836.8;22000.0;;;
01023;;;;;;;
01024;1406.0;3395.0;2276.3;24460.0;-14.9;;27390.0
01025;1628.0;4204.0;2762.6;24880.0;-15.4;;26270.0
01026;434.0;942.0;657.2;22860.0;;;
01027;712.0;1899.0;1219.5;25770.0;;;
01028;227.0;598.0;387.6;25520.0;;;
01029;274.0;652.0;438.2;21350.0;;;
01030;364.0;826.0;567.0;24240.0;;;
01031;1479.0;3238.0;2254.5;20550.0;-14.0;20360.0;24330.0
01032;1184.0;3117.0;2004.6;23060.0;-14.8;;27820.0
01033;6545.0;14862.0;10156.9;23780.0;-13.9;23160.0;26470.0
01034;4073.0;8591.0;6059.2;21180.0;-14.3;20500.0;25540.0
01035;145.0;321.0;225.1;26160.0;;;
01036;592.0;1302.0;911.1;23820.0;;;
01037;126.0;285.0;195.3;21770.0;;;
01038;321.0;776.0;524.0;24250.0;;;
01039;214.0;492.0;336.0;22130.0;;;
01040;195.0;516.0;336.4;23440.0;;;
01041;336.0;747.0;519.2;25150.0;;;
01042;126.0;305.0;206.0;25520.0;;;
01043;1963.0;5041.0;3315.8;28730.0;-19.0;23450.0;32790.0
01044;276.0;616.0;424.8;28550.0;;;
01045;106.0;278.0;180.5;28180.0;;;
01046;354.0;873.0;583.2;24260.0;;;
01047;484.0;1277.0;825.3;27110.0;;;
01049;1279.0;3396.0;2207.8;26780.0;-16.9;;29940.0
01050;136.0;359.0;232.0;23180.0;;;
01051;;;;;;;
01052;126.0;316.0;211.7;27630.0;;;
01053;18870.0;37019.0;26779.7;20210.0;-14.6;20220.0;25400.0
01054;573.0;1571.0;1002.9;27320.0;;;
01056;150.0;343.0;233.6;21640.0;;;
01057;204.0;468.0;321.8;24300.0;;;
01058;344.0;801.0;544.7;23420.0;;;
01060;244.0;548.0;379.3;24970.0;;;
01061;460.0;1183.0;788.8;25110.0;;;
01062;374.0;988.0;641.8;28710.0;;;
01063;246.0;574.0;393.7;25400.0;;;
01064;470.0;1135.0;760.0;23440.0;;;
01065;794.0;1985.0;1318.4;26810.0;;;
01066;;;;;;;
01067;103.0;245.0;165.8;25900.0;;;
01068;334.0;734.0;512.8;21410.0;;;
01069;671.0;1583.0;1073.4;25570.0;;;
01071;1961.0;4845.0;3195.5;42540.0;-19.0;40830.0;42960.0
01072;1392.0;3231.0;2196.6;25320.0;-17.6;;29000.0
01073;457.0;1045.0;723.6;25250.0;;;
01074;1029.0;2423.0;1633.2;23720.0;-14.4;;25490.0
01075;555.0;1462.0;946.9;24890.0;;;
01076;86.0;150.0;115.9;21070.0;;;
01077;92.0;184.0;131.6;24620.0;;;
01078;561.0;1340.0;895.9;44460.0;;;
01079;308.0;677.0;469.9;22770.0;;;
01080;281.0;630.0;434.9;23720.0;;;
01081;322.0;726.0;497.6;27400.0;;;
01082;215.0;492.0;335.9;27880.0;;;
01083;384.0;992.0;649.5;25580.0;;;
01084;342.0;909.0;586.8;24050.0;;;
01085;151.0;396.0;259.2;26330.0;;;
01087;118.0;281.0;191.5;27320.0;;;
01088;380.0;975.0;644.2;28140.0;;;
01089;896.0;2353.0;1525.7;25170.0;-14.6;;28210.0
01090;154.0;368.0;247.0;24090.0;;;
01092;674.0;1650.0;1101.0;25470.0;;;
01093;2349.0;4775.0;3430.9;23430.0;-15.1;21630.0;26970.0
01094;320.0;756.0;514.3;23460.0;;;
01095;343.0;772.0;533.9;23260.0;;;
01096;410.0;1083.0;704.4;23940.0;;;
01098;460.0;1133.0;756.0;22520.0;;;
01099;674.0;1601.0;1083.9;26780.0;;;
01100;74.0;129.0;99.0;21090.0;;;
01101;71.0;163.0;110.8;26800.0;;;
01102;399.0;1021.0;671.1;23750.0;;;
01103;769.0;1952.0;1265.6;44010.0;;;
01104;196.0;428.0;298.5;25230.0;;;
01105;728.0;1964.0;1261.4;28920.0;;;
01106;75.0;166.0;116.8;23440.0;;;
01107;64.0;138.0;95.0;22370.0;;;
01108;554.0;1185.0;830.7;23750.0;;;
01109;814.0;2144.0;1379.2;33820.0;-14.5;;34840.0
01110;69.0;155.0;107.5;20800.0;;;
01111;62.0;134.0;92.9;21730.0;;;
01112;167.0;451.0;288.7;25520.0;;;
01113;345.0;842.0;560.5;23170.0;;;
01114;238.0;587.0;387.7;30140.0;;;
01115;562.0;1373.0;915.0;24350.0;;;
01116;212.0;474.0;329.0;23210.0;;;
01117;59.0;149.0;97.4;22900.0;;;
01118;454.0;1037.0;708.9;27120.0;;;
01121;45.0;106.0;72.5;24470.0;;;
01123;462.0;1208.0;793.2;25480.0;;;
01124;314.0;732.0;495.1;23440.0;;;
01125;278.0;633.0;435.1;24010.0;;;
