insee_code;school_name;secteur;ips_score
31157;ECOLE ELEMENTAIRE PUBLIQUE JEAN JAURES;public;115.6
31159;ECOLE ELEMENTAIRE PUBLIQUE;public;97.8
31160;ECOLE PRIMAIRE PUBLIQUE;public;130.3
31165;ECOLE ELEMENTAIRE PUBLIQUE JEAN DARGASSIES;public;106.2
31184;ECOLE ELEMENTAIRE PUBLIQUE;public;132.8
31192;ECOLE PRIMAIRE PUBLIQUE JEAN PAUL LAURENS;public;126.5
31193;ECOLE ELEMENTAIRE PUBLIQUE ELSA TRIOLET;public;107.8
31196;ECOLE ELEMENTAIRE PUBLIQUE;public;112.0
31206;ECOLE PRIMAIRE PUBLIQUE;public;107.0
31215;ECOLE ELEMENTAIRE PUBLIQUE;public;128.2
31224;ECOLE ELEMENTAIRE PUBLIQUE;public;103.8
31238;ECOLE ELEMENTAIRE PUBLIQUE;public;102.0
31248;ECOLE ELEMENTAIRE PUBLIQUE LES TROIS MOULINS L AYGUIERE;public;115.0
31254;ECOLE ELEMENTAIRE PUBLIQUE AUTAN;public;128.8
31278;ECOLE ELEMENTAIRE PUBLIQUE;public;106.4
31282;ECOLE ELEMENTAIRE PUBLIQUE JEAN ROSTAND;public;114.0
31283;ECOLE ELEMENTAIRE PUBLIQUE;public;112.2
31293;ECOLE PRIMAIRE PUBLIQUE MARCEL PAGNOL;public;114.7
31297;ECOLE ELEMENTAIRE PUBLIQUE CLAUDE NOUGARO;public;134.7
31299;ECOLE ELEMENTAIRE PUBLIQUE RENE CASSIN;public;115.2
31346;ECOLE ELEMENTAIRE PUBLIQUE;public;108.5
31349;ECOLE PRIMAIRE PUBLIQUE;public;109.6
31355;ECOLE PRIMAIRE PUBLIQUE;public;148.9
31356;ECOLE ELEMENTAIRE PUBLIQUE;public;136.1
31375;ECOLE ELEMENTAIRE PUBLIQUE;public;106.3
31389;ECOLE ELEMENTAIRE PUBLIQUE JEAN MOULIN;public;128.0
31395;ECOLE ELEMENTAIRE PUBLIQUE VASCONIA;public;95.1
31403;ECOLE ELEMENTAIRE PUBLIQUE;public;108.5
31420;ECOLE ELEMENTAIRE PUBLIQUE DU RUISSEAU;public;123.2
31433;ECOLE ELEMENTAIRE PUBLIQUE CLAIRFONT;public;105.9
31439;ECOLE PRIMAIRE PUBLIQUE GRAND CEDRE;public;137.0
31451;ECOLE PRIMAIRE PUBLIQUE COUFFINAL;public;95.5
31472;ECOLE ELEMENTAIRE PUBLIQUE;public;114.9
31481;ECOLE ELEMENTAIRE PUBLIQUE JULES FERRY;public;122.9
31495;ECOLE PRIMAIRE PUBLIQUE;public;123.3
31506;ECOLE ELEMENTAIRE PUBLIQUE HENRI PUIS;public;122.7
31518;ECOLE ELEMENTAIRE PUBLIQUE;public;113.9
31525;ECOLE ELEMENTAIRE PUBLIQUE;public;107.6
31526;ECOLE ELEMENTAIRE PUBLIQUE CONDORCET;public;119.6
31541;ECOLE ELEMENTAIRE PUBLIQUE LEONARD DE VINCI;public;124.7
31555;ECOLE ELEMENTAIRE PUBLIQUE CLAUDE NOUGARO;public;124.2
31555;ECOLE ELEMENTAIRE PUBLIQUE LALANDE;public;86.1
31555;ECOLE ELEMENTAIRE PUBLIQUE BONHOURE;public;124.2
31555;ECOLE ELEMENTAIRE PUBLIQUE MARENGO PERIOLE;public;116.7
