insee_code,commune,median_price_m2,nb_transactions,reliability
01001,L'ABERGEMENT-CLEMENCIAT,2209.206349206349,4,Low
01002,ABERGEMENT-DE-VAREY (L ),1769.0265486725664,1,Low
01004,AMBERIEU-EN-BUGEY,2409.090909090909,1088,High
01005,AMBERIEUX-EN-DOMBES,3170.2127659574467,25,High
01006,AMBLEON,1973.6842105263158,9,Low
01007,AMBRONAY,2181.818181818182,143,High
01008,AMBUTRIX,1886.2594169669178,4,Low
01009,ANDERT-CONDON,2477.8761061946902,1,Low
01010,ANGLEFORT,2716.8021680216802,16,High
01012,ARANC,1462.5,1,Low
01014,ARBENT,1250.0,6,Low
01015,ARBOYS EN BUGEY,1230.0,1,Low
01017,ARGIS,760.0,1,Low
01021,ARS-SUR-FORMANS,2261.7354196301567,16,High
01022,ARTEMARE,1666.6666666666667,25,High
01024,ATTIGNAT,2473.1182795698924,49,High
01025,BAGE-DOMMARTIN,2227.7227722772277,110,High
01026,BAGE-LE-CHATEL,1983.1932773109243,25,High
01027,BALAN,3142.601787487587,36,High
01028,BANEINS,3105.2631578947367,1,Low
01029,BEAUPONT,1909.3406593406594,4,Low
01030,BEAUREGARD,2127.659574468085,1,Low
01031,BELLIGNAT,2012.135844940426,16,High
01032,BELIGNEUX,3305.0,25,High
01033,VALSERHONE,3360.0,702,High
01034,BELLEY,1909.090909090909,225,High
01035,BELLEYDOUX,3005.0505050505053,4,Low
01036,VALROMEY-SUR-SERAN,1716.4179104477612,81,High
01037,BENONCES,764.7058823529412,1,Low
01038,BENY,2090.5172413793102,9,Low
01040,BEREZIAT,1656.4542483660132,4,Low
01041,BETTANT,1693.5483870967741,25,High
01043,BEYNOST,3524.590163934426,72,High
01044,BILLIAT,2717.391304347826,9,Low
01045,BIRIEUX,1893.114311431143,4,Low
01046,BIZIAT,1554.0893650378887,4,Low
01047,BLYES,2700.0,16,High
01049,LA BOISSE,3505.855855855856,36,High
01050,BOISSEY,2269.3670212765956,4,Low
01052,BOULIGNEUX,3838.3838383838383,1,Low
01053,BOURG-EN-BRESSE,2156.9444444444443,1088,High
01054,BOURG-SAINT-CHRISTOPHE,2723.5772357723577,25,High
01056,BOYEUX-SAINT-JEROME,1903.225806451613,1,Low
01057,BOZ,1973.512235817575,4,Low
01058,BREGNIER-CORDON,1018.1818181818181,1,Low
01060,BRENOD,1046.2962962962963,9,Low
01061,BRENS,3378.7393162393164,4,Low
01063,BRION,3059.259259259259,1,Low
01064,BRIORD,2428.7115839243497,4,Low
01065,BUELLAS,2593.75,25,High
01066,LA BURBANCHE,1261.1940298507463,1,Low
01068,CERDON,1456.140350877193,1,Low
01071,CESSY,5670.103092783505,21,High
01072,CEYZERIAT,2504.587155963303,143,High
01073,CEYZERIEU,2435.714285714286,9,Low
01074,CHALAMONT,2446.808510638298,81,High
01075,CHALEINS,2981.967875443437,4,Low
01077,CHALLES-LA-MONTAGNE,1574.527027027027,1,Low
01078,CHALLEX,4663.875205030072,4,Low
01079,CHAMPAGNE-EN-VALROMEY,2102.415966386555,4,Low
01080,CHAMPDOR-CORCELLES,892.8571428571429,1,Low
01081,CHAMPFROMIER,3064.285714285714,1,Low
01083,CHANEINS,2266.9082125603863,16,High
01084,CHANOZ-CHATENAY,1457.4664817383264,4,Low
01087,CHARIX,2745.5743879472693,4,Low
01088,CHARNOZ-SUR-AIN,3222.222222222222,9,Low
01089,CHATEAU-GAILLARD,2336.842105263158,25,High
01090,CHATENAY,1704.1873124999997,1,Low
01092,CHATILLON-LA-PALUD,2868.607462402437,16,High
01093,CHATILLON-SUR-CHALARONNE,2829.5454545454545,121,High
01094,CHAVANNES-SUR-REYSSOUZE,4600.0,1,Low
01095,NIVIGNE ET SURAN,2136.3636363636365,9,Low
01096,CHAVEYRIAT,2104.6642899584076,4,Low
01098,CHAZEY-BONS,2562.5,25,High
01099,CHAZEY-SUR-AIN,2649.5726495726494,49,High
01100,CHEIGNIEU-LA-BALME,2405.6524738813323,16,High
01101,CHEVILLARD,1725.2747252747254,1,Low
01102,CHEVROUX,1757.8947368421052,25,High
01103,CHEVRY,4137.006802721089,4,Low
01104,CHEZERY-FORENS,2500.0,1,Low
01105,CIVRIEUX,2917.506828362286,16,High
01106,CIZE,1164.6362388469456,2,Low
01107,CLEYZIEU,861.1111111111111,1,Low
01108,COLIGNY,1763.6363636363637,42,High
01109,COLLONGES,4240.753424657534,110,High
01112,CONDAMINE-LA-DOYE,2474.226804123711,1,Low
01113,CONDEISSIAT,1918.3673469387754,9,Low
01114,CONFORT,3908.268733850129,4,Low
01115,CONFRANCON,2522.174688057041,16,High
01116,CONTREVOZ,1738.4615384615386,9,Low
01117,CONZIEU,2746.153846153846,1,Low
01118,CORBONOD,3805.7368421052633,1,Low
01123,CORMORANCHE-SUR-SAONE,1900.0,9,Low
01124,CORMOZ,761.9047619047619,1,Low
01125,CORVEISSIAT,625.0,6,Low
01127,COURMANGOUX,1514.2857142857142,9,Low
01133,CRESSIN-ROCHEFORT,3567.901234567901,1,Low
01134,CROTTET,1792.4528301886792,9,Low
01135,CROZET,3444.4444444444443,1,Low
01136,CRUZILLES-LES-MEPILLAT,2076.923076923077,9,Low
01138,CULOZ-BEON,2347.1264367816093,90,High
01139,CURCIAT-DONGALON,1857.142857142857,1,Low
01140,CURTAFOND,2218.1410454686047,4,Low
01141,CUZIEU,2435.8490566037735,4,Low
01142,DAGNEUX,3009.7087378640776,121,High
01143,DIVONNE-LES-BAINS,5369.446343130554,2,Low
01145,DOMPIERRE-SUR-VEYLE,2463.9804639804643,36,High
01146,DOMPIERRE-SUR-CHALARONNE,1800.0,9,Low
01147,DOMSURE,1800.0,9,Low
01148,DORTAN,2183.9080459770116,16,High
01149,DOUVRES,2095.808383233533,9,Low
01150,DROM,2254.0,1,Low
01151,DRUILLAT,5234.375,1,Low
01152,ECHALLON,1836.8055555555557,4,Low
01153,ECHENEVEX,5611.04991861096,8,Low
01155,EVOSGES,2539.2156862745096,1,Low
01156,FARAMANS,2865.9435802292946,4,Low
01157,FAREINS,2492.285714285714,121,High
01158,FARGES,3974.7747747747744,16,High
01159,FEILLENS,1655.7096625057789,144,High
01160,FERNEY-VOLTAIRE,4717.0642848748375,4,Low
01163,FOISSIAT,1991.270178419711,100,High
01165,FRANCHELEINS,3091.1111111111113,25,High
01166,FRANS,3018.75,81,High
01167,GARNERANS,2083.3333333333335,9,Low
01170,BEARD-GEOVREISSIAT,2394.0476190476193,4,Low
01171,GEOVREISSET,2352.7676950998184,4,Low
01173,GEX,4933.298593017196,60,High
01175,GORREVOD,2150.0,1,Low
01179,GRIEGES,2459.6153846153848,16,High
01180,GRILLY,5279.0392156862745,1,Low
01183,GUEREINS,2804.1237113402062,25,High
01184,HAUTECOURT-ROMANECHE,1779.0109034267912,36,High
01185,PLATEAU D'HAUTEVILLE,2206.5677966101694,90,High
01187,HAUT-VALROMEY,1363.6842105263158,6,Low
01188,ILLIAT,2474.226804123711,1,Low
01189,INJOUX-GENISSIAT,3555.5555555555557,4,Low
01192,IZERNORE,2330.097087378641,20,High
01194,JASSANS-RIOTTIER,2993.575,144,High
01195,JASSERON,1920.2898550724638,25,High
01196,JAYAT,1388.888888888889,1,Low
01198,JOYEUX,2115.0,1,Low
01199,JUJURIEUX,2300.0,42,High
01200,LABALME,1031.3990461049284,4,Low
01202,LAGNIEU,2551.7241379310344,729,High
01203,LAIZ,2662.37776634071,4,Low
01204,LE POIZAT-LALLEYRIAT,2530.120481927711,9,Low
01208,LAVOURS,2570.4828660436137,4,Low
01209,LEAZ,4343.3652530779755,2,Low
01210,LELEX,1650.5263157894738,9,Low
01211,LENT,1892.6315789473683,25,High
01212,LESCHEROUX,1772.2222222222222,4,Low
01213,LEYMENT,2246.4985994397757,36,High
01214,LEYSSARD,2650.0,1,Low
01215,SURJOUX-LHOPITAL,2419.3548387096776,1,Low
01216,LHUIS,3258.823529411765,1,Low
01224,LOYETTES,2866.8741988646766,36,High
01225,LURCY,558.4642408376964,1,Low
01227,MAGNIEU,2565.217391304348,6,Low
01229,MALAFRETAZ,1753.6608870967743,1,Low
01231,MANZIAT,1456.818181818182,16,High
01232,MARBOZ,2188.383934218849,56,High
01233,MARCHAMP,1159.4202898550725,1,Low
01235,MARLIEUX,1666.6666666666667,9,Low
01236,MARSONNAS,1777.9428904428905,56,High
01237,MARTIGNAT,2717.5,9,Low
01238,MASSIEUX,3149.509605662285,144,High
01239,MASSIGNIEU-DE-RIVES,2461.327737949525,16,High
01240,MATAFELON-GRANGES,1666.6666666666667,9,Low
01241,MEILLONNAS,2055.5555555555557,9,Low
01243,MESSIMY SUR SAONE,2234.429166666667,4,Low
01244,MEXIMIEUX,2742.5271739130435,400,High
01245,BOHAS-MEYRIAT-RIGNAT,2212.5,25,High
01246,MEZERIAT,2079.646017699115,81,High
01247,MIJOUX,3358.6111111111113,4,Low
01248,MIONNAY,2652.1739130434785,1,Low
01249,MIRIBEL,3741.217391304348,361,High
01250,MISERIEUX,3607.6555023923447,64,High
01252,MOGNENEINS,2500.0,25,High
01254,MONTAGNAT,1867.6687396351576,16,High
01255,MONTAGNIEU,2978.723404255319,1,Low
01257,MONTANGES,1489.6827586206898,16,High
01258,MONTCEAUX,2464.5833333333335,9,Low
01260,LE MONTELLIER,1860.4968152866243,1,Low
01261,MONTHIEUX,3818.181818181818,1,Low
01262,MONTLUEL,3416.378205128205,100,High
01263,MONTMERLE-SUR-SAONE,2605.2463409606266,64,High
01264,MONTRACOL,2380.9523809523807,25,High
01265,MONTREAL LA CLUSE,1553.1158619440166,30,High
01266,MONTREVEL-EN-BRESSE,1776.0,42,High
01267,NURIEUX-VOLOGNAT,1694.2857142857142,9,Low
01268,MURS-ET-GELIGNIEUX,2084.782608695652,4,Low
01269,NANTUA,944.4444444444445,20,High
01272,NEUVILLE-LES-DAMES,1760.0,72,High
01273,NEUVILLE-SUR-AIN,2615.740740740741,30,High
01274,LES NEYROLLES,2113.40206185567,1,Low
01275,NEYRON,2566.196344502908,4,Low
01276,NIEVROZ,4607.9620462046205,4,Low
01280,ORDONNAZ,2153.1593406593406,4,Low
01281,ORNEX,5457.364341085271,8,Low
01282,OUTRIAZ,1171.9730941704036,1,Low
01283,OYONNAX,2182.5396825396824,624,High
01284,OZAN,2366.0042735042734,4,Low
01286,PARVES ET NATTAGES,2273.9010989010985,16,High
01288,PERON,4027.777777777778,9,Low
01289,PERONNAS,1987.598235765838,360,High
01290,PEROUGES,1663.0244755244755,4,Low
01291,PERREX,1850.166558711946,4,Low
01294,PEYRIEU,1335.7142857142858,16,High
01295,PEYZIEUX-SUR-SAONE,2449.718045112782,16,High
01296,PIRAJOUX,2758.3399261603377,4,Low
01297,PIZAY,3522.7272727272725,1,Low
01299,LE PLANTAY,1768.716577540107,4,Low
01301,POLLIAT,2225.791920953211,64,High
01303,PONCIN,1560.672514619883,4,Low
01304,PONT-D AIN,2047.244094488189,143,High
01305,PONT-DE-VAUX,1973.9440710314498,64,High
01306,PONT-DE-VEYLE,2500.0,9,Low
01307,PORT,1714.2857142857142,9,Low
01308,POUGNY,2263.3766233766237,4,Low
01313,PREVESSIN-MOENS,3700.0,1,Low
01314,PRIAY,2312.0,121,High
01318,RANCE,3863.6363636363635,1,Low
01319,RELEVANT,3108.108108108108,1,Low
